Product_Name,Category,Brand,Previous_Price,Current_Price,Growth_Rate,Future_Price,Date,Location,Discount,Quantity
Sedan Car,Vehicles,Maruti Suzuki,551426.03,567141.52,0.0285,617027.23,2024-11-07,Hyderabad,4.8,387
CNG 1kg,Fuel,HP Gas,158.13,182.35,0.1532,279.65,2023-10-03,Delhi,9.7,397
Competitive Exam Guide,Books,Arihant,1392.72,1300.91,-0.0659,1060.3,2025-04-16,Lucknow,27.3,213
Train Sleeper,Travel Tickets,IRCTC,40719.14,51713.27,0.27,105928.58,2023-10-28,Jaipur,13.5,436
Gold Ring 5g,Gold,Senco Gold,34584.46,35476.07,0.0258,38293.37,2025-03-03,Ahmedabad,14.3,23
Silver Bangle 40g,Silver,Joyalukkas,37343.45,45090.04,0.2074,79365.93,2023-11-11,Kolkata,23.6,223
Silver Chain 50g,Silver,MMTC-PAMP,90821.95,78005.17,-0.1411,49425.51,2023-01-26,Mumbai,24.0,111
Lenovo ThinkPad X1,Laptops,Lenovo,100468.49,85047.14,-0.1535,51587.04,2023-06-18,Delhi,5.0,490
Aviation Fuel 1L,Fuel,IOCL,336.01,299.77,-0.1079,212.83,2025-06-19,Delhi,22.3,336
Art & Design Book,Books,Phaidon,1248.01,1276.78,0.0231,1367.32,2024-11-23,Mumbai,9.7,84
RAM DDR5 16GB,Computer Components,Corsair,13098.18,11887.17,-0.0925,8884.2,2024-03-11,Delhi,4.0,251
Pain Relief Gel 30g,Medicine,Himalaya,88.6,101.57,0.1464,153.03,2023-12-26,Chennai,4.2,386
Reference Manual,Books,McGraw Hill,821.86,959.58,0.1676,1527.44,2024-10-27,Chennai,24.9,262
Bandage Roll 5m,Medicine,Johnson & Johnson,671.57,688.31,0.0249,741.02,2024-09-15,Ahmedabad,29.3,140
Kurta Set,Clothing,Manyavar,10279.68,9383.05,-0.0872,7136.26,2025-12-28,Kolkata,13.6,386
Mango 1kg,Fruits and Vegetables,DMart,79.9,72.28,-0.0954,53.5,2024-02-03,Delhi,16.7,114
Gold Bangle 20g,Gold,Joyalukkas,77228.09,96773.37,0.2531,190420.22,2023-09-05,Ahmedabad,5.3,235
OnePlus 12,Mobiles,OnePlus,122966.36,128751.83,0.047,147772.44,2025-11-26,Ahmedabad,1.5,128
Power Supply 750W,Computer Components,Cooler Master,60373.51,64559.32,0.0693,78932.83,2025-02-02,Pune,14.9,312
Microwave Oven 25L,Home Appliances,IFB,41335.44,41359.41,0.0006,41433.9,2024-09-28,Mumbai,4.1,365
"Monitor 27"" 165Hz",Computer Components,LG,64514.71,83114.28,0.2883,177716.06,2024-05-12,Mumbai,27.7,13
Onion 1kg,Fruits and Vegetables,BigBasket,138.84,133.55,-0.0381,118.86,2023-01-05,Mumbai,13.9,415
Potato 1kg,Fruits and Vegetables,FreshToHome,325.68,452.26,0.3887,1211.19,2024-06-13,Chennai,29.6,225
Dishwasher,Home Appliances,Bosch,38387.72,48875.68,0.2732,100874.8,2024-05-26,Hyderabad,29.9,405
HP Pavilion 15,Laptops,HP,139079.03,135849.26,-0.0232,126611.81,2025-01-09,Kolkata,16.7,21
Iodized Salt 1kg,Grocery,Catch,241.8,252.48,0.0442,287.46,2024-05-18,Pune,12.6,255
