Product_Name,Category,Brand,Previous_Price,Current_Price,Expected_Future_Price,Growth_Rate,Date,Location,Quantity,Discount
Potato 1kg,Vegetable,Local,46.01,47.89,49.26,4.09,2024-05-31,Delhi,8,16
Milk 1L,Grocery,Aashirvaad,80.41,83.53,85.8,3.88,2025-06-13,Chennai,8,5
Petrol 1L,Fuel,BPCL,98.52,108.49,116.18,10.12,2025-06-16,Delhi,1,16
Premium Rice 1kg,Rice,IndiaGate,61.85,65.45,68.12,5.82,2023-01-08,Mumbai,10,9
Dell Inspiron,Laptop,Lenovo,105510.91,114598.4,121507.53,8.61,2024-05-26,Pune,6,18
Redmi Note 14,Mobile,OnePlus,15169.2,16374.86,17285.9,7.95,2024-06-01,Hyderabad,3,8
Silver 1g,Silver,Market,63.86,72.56,79.48,13.62,2025-01-18,Hyderabad,8,4
Onion 1kg,Vegetable,Local,26.42,32.97,38.69,24.79,2025-02-24,Pune,4,12
Petrol 1L,Fuel,HP,89.51,97.68,103.92,9.13,2023-04-16,Mumbai,1,25
Silver 1g,Silver,Market,89.45,117.62,143.55,31.49,2024-08-11,Bangalore,7,0
HP Victus,Laptop,Asus,56863.31,56972.95,57049.85,0.19,2024-05-17,Mumbai,6,4
Silver 1g,Silver,Market,64.04,73.61,81.31,14.94,2023-05-06,Delhi,9,20
OnePlus 12,Mobile,Samsung,42414.71,47007.56,50570.69,10.83,2025-06-11,Kolkata,5,11
Silver 1g,Silver,Market,96.89,97.07,97.2,0.19,2025-06-03,Mumbai,1,14
Silver 1g,Silver,Market,70.76,80.44,88.14,13.68,2023-01-28,Bangalore,6,17
Galaxy S24,Mobile,OnePlus,18883.94,20282.92,21334.75,7.41,2024-03-07,Mumbai,4,9
Silver 1g,Silver,Market,56.64,62.91,67.78,11.07,2025-03-28,Hyderabad,10,23
Premium Rice 1kg,Rice,Local,52.44,62.6,71.09,19.37,2024-12-26,Chennai,10,2
Gold 24K 1g,Gold,Market,6261.67,6991.77,7562.43,11.66,2024-01-15,Hyderabad,4,6
Petrol 1L,Fuel,HP,70.41,88.39,104.19,25.54,2023-12-10,Chennai,3,13
Silver 1g,Silver,Market,96.38,105.84,113.11,9.82,2023-05-09,Mumbai,6,3
Dell Inspiron,Laptop,Asus,74195.48,86106.87,95783.43,16.05,2024-08-30,Delhi,10,13
Gold 24K 1g,Gold,Market,6516.91,7292.61,7900.23,11.9,2023-09-21,Chennai,6,22
Premium Rice 1kg,Rice,Fortune,81.92,84.63,86.59,3.31,2025-01-06,Mumbai,8,1
Premium Rice 1kg,Rice,IndiaGate,50.91,55.55,59.09,9.11,2025-06-19,Delhi,1,0
Potato 1kg,Vegetable,Local,37.39,39.38,40.85,5.32,2024-04-21,Pune,4,22
Gold 24K 1g,Gold,Market,5477.43,6194.11,6761.43,13.08,2023-12-19,Mumbai,5,17
Gold 24K 1g,Gold,Market,5986.01,6314.53,6557.11,5.49,2024-05-02,Pune,1,18
Silver 1g,Silver,Market,73.56,94.76,113.88,28.82,2024-02-06,Delhi,8,14
Wheat Flour,Grocery,Britannia,66.04,73.62,79.54,11.48,2024-10-21,Chennai,6,13
Redmi Note 14,Mobile,Realme,71992.38,78751.64,83927.35,9.39,2024-09-10,Delhi,8,12
Gold 24K 1g,Gold,Market,5750.47,7126.36,8319.93,23.93,2023-02-20,Delhi,8,0
iPhone 15,Mobile,OnePlus,32891.34,38018.06,42166.13,15.59,2023-09-30,Kolkata,6,18
Redmi Note 14,Mobile,Samsung,57573.96,65185.19,71217.39,13.22,2025-02-15,Chennai,6,13
Silver 1g,Silver,Market,61.51,68.0,73.02,10.55,2023-07-05,Bangalore,8,25
Realme GT,Mobile,Apple,67389.24,83503.31,97480.39,23.91,2024-05-01,Delhi,8,11
Silver 1g,Silver,Market,99.68,103.39,106.08,3.72,2025-05-30,Kolkata,7,0
Silver 1g,Silver,Market,105.76,102.09,99.61,-3.47,2023-06-02,Mumbai,3,8
Tomato 1kg,Vegetable,Local,62.69,72.8,81.02,16.13,2023-12-26,Mumbai,7,22
Tomato 1kg,Vegetable,Local,21.3,24.06,26.24,12.96,2023-05-01,Hyderabad,10,9
Diesel 1L,Fuel,BPCL,93.01,107.67,119.55,15.76,2025-04-27,Bangalore,2,18
Normal Rice 1kg,Rice,Fortune,85.29,91.43,96.04,7.2,2023-06-10,Hyderabad,5,15
Normal Rice 1kg,Rice,Fortune,53.34,53.82,54.16,0.9,2024-01-05,Delhi,4,3
Diesel 1L,Fuel,BPCL,87.46,88.53,89.29,1.22,2024-08-10,Hyderabad,5,14
iPhone 15,Mobile,Apple,33865.1,40062.29,45194.17,18.3,2023-02-09,Delhi,5,12
Silver 1g,Silver,Market,83.5,97.99,109.89,17.35,2024-05-13,Hyderabad,10,4
Petrol 1L,Fuel,IndianOil,110.38,109.48,108.86,-0.82,2023-03-03,Hyderabad,2,4
Normal Rice 1kg,Rice,Local,72.5,77.76,81.71,7.26,2024-05-11,Kolkata,2,3
Premium Rice 1kg,Rice,IndiaGate,51.7,53.51,54.82,3.5,2023-11-30,Hyderabad,2,21
Potato 1kg,Vegetable,Local,54.37,63.29,70.56,16.41,2024-06-20,Mumbai,2,5
Redmi Note 14,Mobile,Xiaomi,33195.99,35473.34,37176.85,6.86,2023-09-19,Kolkata,3,10
HP Victus,Laptop,Lenovo,61452.66,66945.22,71133.65,8.94,2024-12-22,Kolkata,3,2
Premium Rice 1kg,Rice,IndiaGate,39.6,46.54,52.25,17.53,2025-03-30,Hyderabad,1,5
Tomato 1kg,Vegetable,Local,28.09,32.34,35.77,15.13,2024-08-23,Delhi,8,12
Galaxy S24,Mobile,Samsung,21888.32,27655.43,32756.07,26.35,2023-10-13,Kolkata,2,22
Silver 1g,Silver,Market,78.88,83.22,86.43,5.5,2023-11-07,Hyderabad,6,6
